var,bin,bin_cuts,miss_flag,num_ids,bad_ids,dtype,per_goods,per_bads,woe,iv_bin,iv_final
no_of_unique_lenders_1m,0,0,0,2720,1200,numeric,0.233918129,0.46728972,-69.19782734,0.161488071,0.398923116
no_of_unique_lenders_1m,1,1,0,1813,567,numeric,0.191751308,0.220794393,-14.10326558,0.004096023,0.398923116
no_of_unique_lenders_1m,2,2,0,1813,435,numeric,0.212065251,0.169392523,22.46753691,0.009587511,0.398923116
no_of_unique_lenders_1m,3,3,0,907,159,numeric,0.115112342,0.061915888,62.01317243,0.032988809,0.398923116
no_of_unique_lenders_1m,4,4,0,906,118,numeric,0.121268082,0.045950156,97.0446414,0.073092012,0.398923116
no_of_unique_lenders_1m,5,44,0,907,89,numeric,0.125884888,0.034657321,128.9858915,0.11767069,0.398923116
avg_debt_amt_1m,0,-336,0,907,153,numeric,0.116035703,0.059579439,66.65873952,0.037633034,0.372321715
avg_debt_amt_1m,1,-216.97,0,907,147,numeric,0.116959064,0.057242991,71.45187951,0.042668257,0.372321715
avg_debt_amt_1m,2,-156.57,0,906,151,numeric,0.116189597,0.058800623,68.1070861,0.039085958,0.372321715
avg_debt_amt_1m,3,-109.72,0,907,140,numeric,0.118036319,0.054517134,77.24773273,0.04906713,0.372321715
avg_debt_amt_1m,4,-74.97,0,906,179,numeric,0.111880579,0.06970405,47.31736203,0.019956821,0.372321715
avg_debt_amt_1m,5,-31.77,0,907,244,numeric,0.102031394,0.095015576,7.123971347,0.000499805,0.372321715
avg_debt_amt_1m,6,0,0,3626,1554,numeric,0.318867344,0.605140187,-64.0684979,0.18341071,0.372321715
C1M00 Debit Counts,0,30,0,907,485,numeric,0.064943059,0.188862928,-106.7510628,0.132285777,0.354158345
C1M00 Debit Counts,1,48,0,907,401,numeric,0.077870114,0.156152648,-69.57918094,0.054468346,0.354158345
C1M00 Debit Counts,2,65,0,906,334,numeric,0.088027085,0.130062305,-39.0369053,0.016409249,0.354158345
C1M00 Debit Counts,3,80,0,907,274,numeric,0.097414589,0.106697819,-9.102473566,0.000845004,0.354158345
C1M00 Debit Counts,4,95,0,906,214,numeric,0.106494306,0.083333333,24.52428892,0.005680064,0.354158345
C1M00 Debit Counts,5,111,0,907,218,numeric,0.106032625,0.084890966,22.23791568,0.004701464,0.354158345
C1M00 Debit Counts,6,130,0,906,200,numeric,0.108648815,0.07788162,33.29308195,0.010243347,0.354158345
C1M00 Debit Counts,7,156,0,907,160,numeric,0.114958449,0.062305296,61.25243185,0.032251337,0.354158345
C1M00 Debit Counts,8,197,0,906,151,numeric,0.116189597,0.058800623,68.1070861,0.039085958,0.354158345
C1M00 Debit Counts,9,750,0,907,131,numeric,0.11942136,0.051012461,85.05881456,0.058187799,0.354158345
liquidity,0,-99.35,0,907,376,numeric,0.081717452,0.146417445,-58.31941736,0.03773266,0.353226159
liquidity,1,-49.16,0,907,404,numeric,0.077408433,0.157320872,-70.91917593,0.056673243,0.353226159
liquidity,2,-4.87,0,906,344,numeric,0.08648815,0.133956386,-43.75068589,0.020767679,0.353226159
liquidity,3,0.69,0,907,386,numeric,0.080178516,0.150311526,-62.84543791,0.044075397,0.353226159
liquidity,4,3.99,0,906,264,numeric,0.098799631,0.102803738,-3.972785088,0.000159075,0.353226159
liquidity,5,13.82,0,907,197,numeric,0.109264389,0.076713396,35.36941899,0.011513097,0.353226159
liquidity,6,41.45,0,906,185,numeric,0.110957218,0.072040498,43.19162608,0.016808764,0.353226159
liquidity,7,109.87,0,907,152,numeric,0.116189597,0.059190031,67.4470177,0.038444507,0.353226159
liquidity,8,358.9,0,906,155,numeric,0.115574023,0.060358255,64.96134834,0.035868907,0.353226159
liquidity,9,138393.21,0,907,105,numeric,0.123422592,0.04088785,110.4781206,0.091182831,0.353226159
avg_debt_amt_3m,0,-623,0,907,139,numeric,0.118190212,0.054127726,78.09487486,0.050029519,0.319546253
avg_debt_amt_3m,1,-415.8128571,0,907,150,numeric,0.116497384,0.058411215,69.03609079,0.04010042,0.319546253
avg_debt_amt_3m,2,-301.32,0,906,162,numeric,0.114496768,0.063084112,59.60776482,0.030645935,0.319546253
avg_debt_amt_3m,3,-215.5825,0,907,175,numeric,0.112650046,0.068146417,50.26274886,0.022368747,0.319546253
avg_debt_amt_3m,4,-145.27,0,906,199,numeric,0.108802709,0.077492212,33.93587898,0.010625492,0.319546253
avg_debt_amt_3m,5,-86.39666667,0,907,245,numeric,0.101877501,0.095404984,6.564029397,0.000424858,0.319546253
avg_debt_amt_3m,6,-34.995,0,906,300,numeric,0.093259464,0.11682243,-22.526954,0.005308018,0.319546253
avg_debt_amt_3m,7,0,0,2720,1198,numeric,0.234225916,0.466510903,-68.89952917,0.160043263,0.319546253
currentObligationsValue,0,-2820.64,0,907,114,numeric,0.12203755,0.044392523,101.1257722,0.078519133,0.311295711
currentObligationsValue,1,-1628.21,0,907,144,numeric,0.117420745,0.056074766,73.90776803,4.53E-02,0.311295711
currentObligationsValue,2,-1012.88,0,906,185,numeric,0.110957218,0.072040498,43.19162608,0.016808764,0.311295711
currentObligationsValue,3,-621.75,0,907,186,numeric,0.110957218,0.072429907,42.65254122,0.016432877,0.311295711
currentObligationsValue,4,-359.81,0,906,205,numeric,0.107879347,0.07982866,30.11308565,0.008446927,0.311295711
currentObligationsValue,5,-191.5,0,907,258,numeric,0.099876885,0.10046729,-0.589391964,3.48E-06,0.311295711
currentObligationsValue,6,-85,0,906,310,numeric,0.091720529,0.120716511,-27.46986818,0.007965158,0.311295711
currentObligationsValue,7,-20,0,907,390,numeric,0.079562942,0.151869159,-64.6470916,0.046743866,0.311295711
currentObligationsValue,8,0,0,1813,776,numeric,0.159587565,0.302180685,-63.84323634,0.091036063,0.311295711
C1M00 secondary exp,0,-2276.75,0,907,157,numeric,0.115420129,0.061137072,63.54603498,0.034494731,0.264911373
C1M00 secondary exp,1,-1609.99,0,907,153,numeric,0.116035703,0.059579439,66.65873952,0.037633034,0.264911373
C1M00 secondary exp,2,-1219.75,0,906,178,numeric,0.112034472,0.069314642,48.01504465,0.020511946,0.264911373
C1M00 secondary exp,3,-931.41,0,907,187,numeric,0.110803324,0.072819315,41.97755437,0.015944758,0.264911373
C1M00 secondary exp,4,-722.47,0,906,213,numeric,0.106648199,0.082943925,25.13707821,0.005958562,0.264911373
C1M00 secondary exp,5,-551.88,0,907,247,numeric,0.101569714,0.096183801,5.448444697,0.000293448,0.264911373
C1M00 secondary exp,6,-391.94,0,906,293,numeric,0.094336719,0.114096573,-19.01747245,0.003757825,0.264911373
C1M00 secondary exp,7,-245.71,0,907,323,numeric,0.089873807,0.125778816,-33.61183918,0.012068334,0.264911373
C1M00 secondary exp,8,-99.48,0,906,354,numeric,0.084949215,0.137850467,-48.41159183,0.025610338,0.264911373
C1M00 secondary exp,9,0,0,907,463,numeric,0.068328717,0.18029595,-97.02695431,0.108638397,0.264911373
C1M00 Closing Balance,0,-1535.53,0,907,109,numeric,0.122807018,0.042445483,106.2393664,0.085375585,0.260065873
C1M00 Closing Balance,1,-834.13,0,907,168,numeric,0.113727301,0.065420561,55.29668901,0.026712028,0.260065873
C1M00 Closing Balance,2,-476.34,0,906,206,numeric,0.107725454,0.080218069,29.48371148,0.008110198,0.260065873
C1M00 Closing Balance,3,-272.73,0,907,244,numeric,0.102031394,0.095015576,7.123971347,0.000499805,0.260065873
C1M00 Closing Balance,4,-135.18,0,906,290,numeric,0.0947984,0.112928349,-17.50010109,0.003172759,0.260065873
C1M00 Closing Balance,5,-45.31,0,907,346,numeric,0.086334257,0.134735202,-44.5084921,0.021542531,0.260065873
C1M00 Closing Balance,6,18.02,0,906,433,numeric,0.072791628,0.168613707,-84.00093909,0.080491446,0.260065873
C1M00 Closing Balance,7,194.66,0,907,335,numeric,0.088027085,0.130451713,-39.33585919,0.016688092,0.260065873
C1M00 Closing Balance,8,669.07,0,906,253,numeric,0.100492459,0.098520249,1.982058913,3.91E-05,0.260065873
C1M00 Closing Balance,9,141086.66,0,907,184,numeric,0.111265005,0.07165109,44.01064131,0.017434338,0.260065873
C1_COV_DBC,0,14.51558679,0,860,102,numeric,0.116651277,0.039719626,107.7343521,0.082881816,0.259637462
C1_COV_DBC,1,18.80298607,0,860,138,numeric,0.111111111,0.053738318,72.64044023,0.04167585,0.259637462
C1_COV_DBC,2,22.93574405,0,860,167,numeric,0.106648199,0.065031153,49.46691354,0.020586669,0.259637462
C1_COV_DBC,3,27.09257624,0,859,209,numeric,0.100030779,0.081386293,20.62710595,0.003845818,0.259637462
C1_COV_DBC,4,31.72872208,0,860,230,numeric,0.096952909,0.089563863,7.927345904,0.000585755,0.259637462
C1_COV_DBC,5,37.32801767,0,860,271,numeric,0.090643275,0.105529595,-15.20596886,0.002263609,0.259637462
C1_COV_DBC,6,44.78482705,0,859,272,numeric,0.090335488,0.105919003,-15.91442979,0.002480028,0.259637462
C1_COV_DBC,7,54.30760426,0,860,340,numeric,0.080024623,0.132398754,-50.34838575,0.026369529,0.259637462
C1_COV_DBC,8,69.8340891,0,860,345,numeric,0.079255155,0.134345794,-52.77445678,0.029073785,0.259637462
C1_COV_DBC,9,244.9489743,0,860,376,numeric,0.074484457,0.146417445,-67.58712881,0.048617442,0.259637462
C1_COV_DBC,,,1,468,118,numeric,0.053862727,0.045950156,15.88814786,0.001257161,0.259637462
C1M01 Debit Counts,0,29,0,907,444,numeric,0.071252693,0.172897196,-88.64645598,0.09010425,0.247959774
C1M01 Debit Counts,1,46,0,906,373,numeric,0.082025239,0.145249221,-57.14240469,0.036127704,0.247959774
C1M01 Debit Counts,2,62,0,906,332,numeric,0.088334872,0.129283489,-38.0872624,1.56E-02,0.247959774
C1M01 Debit Counts,3,76,0,906,262,numeric,0.099107418,0.102024922,-2.901282908,8.46E-05,0.247959774
C1M01 Debit Counts,4,89,0,906,262,numeric,0.099107418,0.102024922,-2.901282908,8.46E-05,0.247959774
C1M01 Debit Counts,5,105,0,906,201,numeric,0.108494922,0.078271028,32.65258433,0.009868882,0.247959774
C1M01 Debit Counts,6,122,0,906,192,numeric,0.109879963,0.074766355,38.50205389,0.01351946,0.247959774
C1M01 Debit Counts,7,145,0,906,175,numeric,0.112496153,0.068146417,50.12604344,0.022230768,0.247959774
C1M01 Debit Counts,8,184,0,906,169,numeric,0.113419514,0.065809969,54.43221258,0.025914929,0.247959774
C1M01 Debit Counts,9,715,0,906,157,numeric,0.115266236,0.061137072,63.41261267,0.034324717,0.247959774
C1M01 Debit Counts,,,1,5,1,numeric,0.000615574,0.000389408,45.79273097,0.000103568,0.247959774
